window_number,sample_index,amplitude
5,23,-45.88541608542191
5,24,-48.48215377700369
5,25,-51.13212405204677
5,26,-54.00220879861322
5,27,-57.29278224799845
5,28,-61.18449449889253
5,29,-65.76838515430141
5,30,-70.97709395206108
5,31,-76.5342879865706
5,32,-81.9325728066233
5,33,-86.44502963710447
5,34,-89.17595537647847
5,35,-89.16070356687106
5,36,-85.5219994322318
5,37,-77.66407562161582
5,38,-65.44721680144829
5,39,-49.274350969127774
5,40,-30.05420557100714
5,41,-9.053708446775875
5,42,12.314963153376492
5,43,32.715280527107254
5,44,51.06266810215005
5,45,66.62547031079335
5,46,79.04807382764812
5,47,88.31006789326253
5,48,94.63960270829774
5,49,98.4032591679042
5,50,100.00057335349771
5,51,99.78782410015377
5,52,98.03789146118416
5,53,94.93118385465382
5,54,90.57796055795352
5,55,85.06976874500884
5,56,78.53813074760404
5,57,71.18904166088521
5,58,63.29724247823728
5,59,55.171678664563835
5,60,47.117202551819105
5,61,39.40243304517746
5,62,32.22585220007452
5,63,25.682646692659745
5,64,19.750681651812627
5,65,14.3066207668295
5,66,9.16884288799933
5,67,4.155317225499604
5,68,-0.8636837753011483
5,69,-5.9377679505269265
5,70,-11.038059521533665
5,71,-16.078056045105203
5,72,-20.944077644215255
5,73,-25.531991347913475
5,74,-29.779971445493345
5,75,-33.67898118906936
5,76,-37.25583073947836
5,77,-40.543923354069996
5,78,-43.56145539239796
5,79,-46.30955440263473
5,80,-48.79061935995462
5,81,-51.032194327673196
5,82,-53.09837870098625
5,83,-55.08523392442102
5,84,-57.10873638841991
5,85,-59.292968907517256
5,86,-61.76245264962867
5,87,-64.6368163201082
5,88,-68.01979401728427
5,89,-71.9742770223763
5,90,-76.47761538380443
5,91,-81.36005382529879
5,92,-86.24502782502128
5,93,-90.5167339971737
5,94,-93.33568707924444
5,95,-93.71721595157777
5,96,-90.67635109526283
5,97,-83.42025426097186
5,98,-71.54597150448252
5,99,-55.18800036339558
6,0,48.37202450804283
6,1,39.379882828676365
6,2,30.95275572573896
6,3,23.18381407567406
6,4,16.066228266268887
6,5,9.524055067504127
6,6,3.4559170560828587
6,7,-2.2292655795480503
6,8,-7.592555465276367
6,9,-12.662492497770451
6,10,-17.447893853464326
6,11,-21.95293965679506
6,12,-26.17898843539421
6,13,-30.11740252537658
6,14,-33.75128261726618
6,15,-37.06943828919891
