Time-stamp,Pressure_cuff_signal,Signal_1
17.264,11248,53039
17.265,11200,53023
17.266,11216,53031
17.267,11216,53023
17.268,11200,53015
17.269,11216,53031
17.27,11216,53023
17.271,11200,53023
17.272,11216,53015
17.273,11248,53015
17.274,11184,52991
17.275,11232,52999
17.276,11200,53023
17.277,11216,53007
17.278,11216,53015
17.279,11184,53015
17.28,11216,53031
17.281,11184,53031
17.282,11216,53015
17.283,11200,53015
17.284,11200,52999
17.285,11200,53015
17.286,11216,53023
17.287,11216,53015
17.288,11216,53015
17.289,11232,52999
17.29,11216,52999
17.291,11216,52999
17.292,11248,53031
17.293,11216,52999
17.294,11232,53007
17.295,11248,53023
17.296,11216,53023
17.297,11216,53007
17.298,11216,53023
17.299,11216,53015
17.3,11216,53023
17.301,11216,53039
17.302,11216,52991
17.303,11216,53015
17.304,11232,53015
17.305,11216,53023
17.306,11216,53007
17.307,11184,53007
17.308,11248,53007
17.309,11248,52991
17.31,11248,53039
17.311,11184,53023
17.312,11216,53023
17.313,11216,52999
17.314,11216,53007
17.315,11248,53007
17.316,11200,52991
17.317,11216,53007
17.318,11216,53023
17.319,11200,53007
17.32,11216,53015
17.321,11248,52999
17.322,11200,53015
17.323,11232,53031
17.324,11184,53015
17.325,11248,52991
17.326,11248,52991
17.327,11216,52983
17.328,11200,53015
17.329,11248,53023
17.33,11200,53007
17.331,11248,53007
17.332,11248,53015
17.333,11232,52999
17.334,11216,52999
17.335,11184,52991
17.336,11200,53007
17.337,11216,53023
17.338,11216,53007
17.339,11232,52983
17.34,11216,52999
17.341,11248,53007
17.342,11248,52983
17.343,11216,52999
17.344,11248,52983
17.345,11232,52991
17.346,11248,52999
17.347,11248,53007
17.348,11248,52999
17.349,11200,52999
17.35,11184,52983
17.351,11216,52999
17.352,11232,52967
17.353,11232,52999
17.354,11216,52991
17.355,11216,52983
17.356,11216,53015
17.357,11200,52991
17.358,11216,52991
17.359,11216,52983
17.36,11216,52991
17.361,11200,53007
17.362,11216,52967
17.363,11184,53015
17.364,11216,52991
17.365,11248,53007
17.366,11216,53007
17.367,11216,52999
17.368,11200,53007
17.369,11248,53015
17.37,11216,52999
17.371,11216,52991
17.372,11216,52999
17.373,11216,52999
17.374,11216,53015
17.375,11248,52983
17.376,11216,53023
17.377,11248,53007
17.378,11184,53039
17.379,11216,53015
17.38,11184,53039
17.381,11232,53007
17.382,11216,53007
17.383,11248,53047
17.384,11184,52999
17.385,11216,53031
17.386,11216,53007
17.387,11216,53007
17.388,11216,53047
17.389,11216,53039
17.39,11232,53023
17.391,11216,53039
17.392,11216,53031
17.393,11216,53031
17.394,11216,53007
17.395,11216,53023
17.396,11248,53023
17.397,11184,53047
17.398,11216,53063
17.399,11248,53055
17.4,11216,53047
17.401,11216,53031
17.402,11248,53063
17.403,11216,53055
17.404,11232,53071
17.405,11200,53039
17.406,11248,53055
17.407,11200,53063
17.408,11216,53063
17.409,11216,53039
17.41,11216,53055
17.411,11216,53063
17.412,11216,53047
17.413,11216,53063
17.414,11184,53063
17.415,11216,53063
17.416,11184,53047
17.417,11216,53071
17.418,11184,53071
17.419,11200,53071
17.42,11216,53071
17.421,11200,53063
17.422,11248,53055
17.423,11184,53071
17.424,11200,53063
17.425,11216,53087
17.426,11232,53071
17.427,11232,53039
17.428,11216,53071
17.429,11216,53063
17.43,11216,53095
17.431,11248,53079
17.432,11216,53055
17.433,11216,53079
17.434,11216,53047
17.435,11200,53063
17.436,11216,53071
17.437,11248,53047
17.438,11216,53047
17.439,11216,53087
17.44,11248,53079
17.441,11216,53095
17.442,11216,53071
17.443,11232,53071
17.444,11248,53087
17.445,11200,53055
17.446,11248,53071
17.447,11184,53087
17.448,11200,53111
17.449,11216,53071
17.45,11216,53071
17.451,11216,53079
17.452,11184,53079
17.453,11200,53071
17.454,11232,53103
17.455,11216,53087
17.456,11184,53063
17.457,11216,53071
17.458,11248,53095
17.459,10960,53095
17.46,11232,53079
17.461,11248,53063
17.462,11200,53103
17.463,11216,53079
17.464,11232,53095
17.465,11200,53063
17.466,11216,53111
17.467,11232,53087
17.468,11232,53087
17.469,11232,53095
17.47,11200,53087
17.471,11216,53111
17.472,11200,53103
17.473,11216,53079
17.474,11184,53095
17.475,11216,53087
17.476,11216,53095
17.477,11216,53087
17.478,11232,53095
17.479,11216,53095
17.48,11216,53087
17.481,11248,53119
17.482,11216,53095
17.483,11216,53087
17.484,11232,53079
17.485,11216,53087
17.486,11216,53111
17.487,11216,53079
17.488,11216,53087
17.489,11232,53055
17.49,11216,53087
17.491,11216,53079
17.492,11200,53047
17.493,11216,53087
17.494,11216,53087
17.495,11216,53079
17.496,11248,53087
17.497,11248,53087
17.498,11184,53079
17.499,11232,53087
17.5,11200,53103
17.501,11216,53095
17.502,11216,53087
17.503,11248,53095
17.504,11216,53095
17.505,11216,53087
17.506,11232,53103
17.507,11216,53071
17.508,11216,53087
17.509,11216,53087
17.51,11184,53087
17.511,11216,53095
17.512,11216,53095
17.513,11248,53111
17.514,11232,53055
17.515,11216,53095
17.516,11200,53071
17.517,11248,53079
17.518,11232,53071
17.519,11216,53063
17.52,11184,53119
17.521,11216,53079
17.522,11216,53095
17.523,11184,53071
17.524,11248,53071
17.525,11248,53095
17.526,11216,53087
17.527,11216,53095
17.528,11184,53071
17.529,11216,53071
17.53,11216,53079
17.531,11248,53103
17.532,11232,53071
17.533,11200,53071
17.534,11232,53087
17.535,11216,53063
17.536,11200,53087
17.537,11216,53079
17.538,11232,53071
17.539,11216,53087
17.54,11184,53071
17.541,11232,53071
17.542,11184,53071
17.543,11216,53063
17.544,11200,53071
17.545,11216,53103
17.546,11200,53087
17.547,11216,53071
17.548,11248,53087
17.549,11216,53055
